t;framecounter;lat;long;height;GPS_satellites;temp;voltage;temp_int;pressure;humidity_rel;RSSI;CRC;r;v_z;wind;wind_direction;wind_direction_deg;vapor_pressure;dew_point
179,0;81,0;1,209562759752245;0,27953986901152067;0,3795;12,0;2,9205927580495654;3,96;29,25757050926711;93,84483;69,03;-56,0;3,0;1,0096928791647763;4,625;16,821654300263248;-4,0317456429390965;-231,00200941066882;0,5351651176343687;-1,603490128066669
183,0;82,0;1,2095720806831154;0,27952658635778127;0,399;12,0;2,808895205892952;3,96;29,25757050926711;93,63841000000001;68,57;-56,0;3,0;1,0777725068312756;4,875;25,799888008668294;-4,100498130512628;-234,9412367796578;0,5268342640397824;-1,7917640298122992
187,0;83,0;1,2095812686198968;0,27951866361017474;0,416;12,0;2,723585750872701;3,96;29,25757050926711;93,3985;68,75;-62,0;3,0;1,1380094763193556;4,25;19,28958049580509;-3,8531836599905174;-220,77116140622826;0,5245949201427468;-1,8428361185743642
191,0;84,0;1,2095905897252999;0,27950364993888327;0,433;12,0;;;;;;-58,0;1,0;1,2075652765640874;4,25;28,09758041998393;-4,156785868415387;-238,16628659982445;;
195,0;85,0;1,2096007096679018;0,2794995553964581;0,45;12,0;2,5723511383304754;3,96;29,25757050926711;93,04063000000001;68,88;-61,0;3,0;1,2684685814478887;4,25;17,357521231204466;-3,5260594060326698;-202,02832227807787;0,5192087440121194;-1,9664976889139199
199,0;86,0;1,2096088324302405;0,2794925644801392;0,4615;12,0;2,4366381116584535;3,96;29,25757050926711;92,77814;69,05;-63,0;3,0;1,321211974987559;2,875;17,03958901345128;-3,85224149808168;-220,71717950523387;0,51481265863046;-2,0682996121222423
203,0;87,0;1,2096177540297781;0,27948387605658986;0,4805;12,0;2,3818806595230058;3,96;29,25757050926711;92,58558000000001;69,43;-58,0;3,0;1,3826301792030735;4,75;19,800391652360453;-3,913750495767606;-224,2413854747174;0,5153585068359609;-2,0556160863531363
207,0;88,0;1,209627740803758;0,2794710927415495;0,5015;12,0;2,2327432388721036;3,96;29,25757050926711;92,39598;70,14;-61,0;3,0;1,4547855395081264;5,25;25,792468241752;-4,049195260984888;-232,001798878808;0,5143822255234108;-2,078309980237011
211,0;89,0;1,2096366624032953;0,2794667318618805;0,5155;12,0;2,1025864448912444;3,96;29,25757050926711;92,1573;70,63;-65,0;3,0;1,510074262976766;3,5;15,78914096345308;-3,596240348386905;-206,04939407722645;0,5125423587675606;-2,1211853185085197
215,0;90,0;1,2096446518224793;0,2794582097682088;0,5375;12,0;2,034207777720269;3,96;29,25757050926711;91,92191;70,28;-59,0;3,0;1,5678570091237216;5,5;18,573442288799235;-3,959240424424376;-226,8477663971015;0,5071829125700968;-2,2468856230433447
218,0;91,0;1,209652375078952;0,2794448606174249;0,563;12,0;1,9158321611755014;3,96;29,25757050926711;91,68596000000001;70,72;-66,0;3,0;1,6305869113662967;8,5;32,69530143576659;-4,187884964924154;-239,94813357644685;0,5054801402976457;-2,287076556786254
222,0;92,0;1,209662361852932;0,2794406662421665;0,5795;12,0;1,801631564804154;3,96;29,25757050926711;91,45483999999999;70,67;-57,0;3,0;1,6924544936242805;4,125;17,222617132569155;-3,539214702758759;-202,78206525872505;0,500460245037241;-2,4062865399285243
226,0;93,0;1,2096695524349173;0,27942814926437004;0,596;12,0;1,670295556208714;3,96;29,25757050926711;91,24184;71,33;-58,0;3,0;1,7484954775439296;4,125;22,952278635841825;-4,190955878986172;-240,1240839914478;0,499770807641921;-2,4227442281712355
230,0;94,0;1,2096767430169026;0,2794181958261788;0,617;12,0;;;;;;-60,0;1,0;1,8033875936946757;5,25;19,523842480076215;-4,086772707303018;-234,15482795771624;;
234,0;95,0;1,2096867297908827;0,27941207059316897;0,641;12,0;1,6172174138458217;3,96;29,25757050926711;90,80331;70,79;-57,0;3,0;1,8700377220414175;6,0;18,627921319951046;-3,6917592805486854;-211,5222257536929;0,4938508148046852;-2,564921812076311
238,0;96,0;1,2096943198787335;0,27941546595669575;0,664;12,0;1,730533728780017;3,96;29,25757050926711;90,5798;70,41;-62,0;3,0;1,9144577086439292;5,75;13,220912113729751;-2,7209514901252154;-155,89903664400714;0,49574668452555115;-2,5192208644530014
242,0;97,0;1,2097012441234751;0,2794167643071263;0,688;12,0;1,8123430929516076;3,96;29,25757050926711;90,29598;70,28;-68,0;3,0;1,9581562206758343;6,0;11,201620552981314;-2,9562370942325273;-169,37990873954206;0,49813165178477453;-2,461956287123391
246,0;98,0;1,2097088340367934;0,27942292287592496;0,715;12,0;;;;;;-60,0;1,0;2,0022721765424922;6,75;15,541302154385688;-2,45993005571541;-140,94361008987445;;
